epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4311,0.89204,0.56714,1.20233,0.81411,0.80353,0.84882,0.59929,1.17426,0.88939,1.4541,0.00029694,0.00029694,0.00029694
77,4367.5,0.88896,0.57222,1.20944,0.86947,0.7979,0.8625,0.61128,1.18514,0.80215,1.47111,0.000293059,0.000293059,0.000293059
78,4423.22,0.89604,0.56957,1.20059,0.85752,0.82377,0.86459,0.60592,1.16927,0.83028,1.45321,0.000289178,0.000289178,0.000289178
79,4478.88,0.86755,0.53856,1.19107,0.82041,0.79957,0.8523,0.60397,1.14204,0.88525,1.44127,0.000285298,0.000285298,0.000285298
80,4535.12,0.88006,0.56945,1.19923,0.84288,0.79328,0.85159,0.60098,1.1599,0.80428,1.45053,0.000281417,0.000281417,0.000281417
81,4590.63,0.86236,0.54143,1.18779,0.83207,0.80426,0.85386,0.60111,1.15794,0.83775,1.44594,0.000277536,0.000277536,0.000277536
82,4646.33,0.87489,0.55264,1.17316,0.81025,0.81049,0.85855,0.59775,1.1809,0.87457,1.48393,0.000273655,0.000273655,0.000273655
83,4702.73,0.87323,0.54761,1.18677,0.84972,0.79923,0.85889,0.59869,1.1818,0.81173,1.4615,0.000269774,0.000269774,0.000269774
84,4759.37,0.85541,0.54127,1.19193,0.8562,0.79167,0.86489,0.61365,1.17159,0.76761,1.45556,0.000265894,0.000265894,0.000265894
85,4816.09,0.86358,0.5387,1.18251,0.84502,0.81589,0.87102,0.6152,1.15714,0.81942,1.44862,0.000262013,0.000262013,0.000262013
86,4872.7,0.84515,0.5198,1.17297,0.82204,0.80258,0.8478,0.59142,1.1635,0.86048,1.47324,0.000258132,0.000258132,0.000258132
87,4929.09,0.84344,0.52314,1.17579,0.85221,0.80711,0.85894,0.60595,1.15151,0.80623,1.45945,0.000254251,0.000254251,0.000254251
88,4985.02,0.84591,0.52476,1.17768,0.83671,0.80218,0.85722,0.59882,1.15734,0.82864,1.45886,0.00025037,0.00025037,0.00025037
89,5040.05,0.84688,0.51931,1.16524,0.85097,0.79634,0.86274,0.60265,1.17415,0.83569,1.47202,0.00024649,0.00024649,0.00024649
90,5096.63,0.8393,0.50748,1.17182,0.84313,0.79882,0.8541,0.6006,1.17602,0.85229,1.47741,0.000242609,0.000242609,0.000242609
91,5152.37,0.82583,0.5087,1.16721,0.83249,0.79802,0.84937,0.59803,1.18307,0.82997,1.46635,0.000238728,0.000238728,0.000238728
92,5207.59,0.82254,0.49912,1.16149,0.85902,0.79112,0.85476,0.60221,1.16937,0.83068,1.48378,0.000234847,0.000234847,0.000234847
93,5263.71,0.81103,0.4914,1.14498,0.8573,0.78254,0.85339,0.59098,1.18137,0.81417,1.4799,0.000230966,0.000230966,0.000230966
94,5320.3,0.82021,0.49171,1.15906,0.82951,0.79846,0.85428,0.59364,1.19043,0.84967,1.48045,0.000227086,0.000227086,0.000227086
95,5376.7,0.81886,0.49108,1.15327,0.84528,0.82845,0.8614,0.60431,1.18738,0.8126,1.48922,0.000223205,0.000223205,0.000223205
96,5432.62,0.80897,0.49567,1.15412,0.87084,0.79694,0.86099,0.6108,1.16382,0.83664,1.4725,0.000219324,0.000219324,0.000219324
97,5489.21,0.80281,0.48347,1.14505,0.86635,0.77751,0.8573,0.60398,1.16667,0.84296,1.4743,0.000215443,0.000215443,0.000215443
98,5545.81,0.79595,0.48322,1.14903,0.86006,0.78442,0.84546,0.59269,1.19577,0.85023,1.49884,0.000211562,0.000211562,0.000211562
99,5603.1,0.7941,0.47127,1.13921,0.82977,0.81329,0.85596,0.60316,1.18383,0.84404,1.48342,0.000207682,0.000207682,0.000207682
100,5660.59,0.77395,0.46813,1.13204,0.84963,0.79851,0.85482,0.60524,1.17499,0.84179,1.47335,0.000203801,0.000203801,0.000203801
101,5718.88,0.78539,0.479,1.12798,0.84758,0.81005,0.85072,0.59882,1.18857,0.85053,1.4929,0.00019992,0.00019992,0.00019992
102,5774.12,0.78282,0.46594,1.12817,0.85154,0.80217,0.85874,0.59804,1.17596,0.80584,1.47877,0.000196039,0.000196039,0.000196039
103,5831.83,0.76756,0.46279,1.12924,0.85091,0.81428,0.86225,0.60638,1.18565,0.83339,1.48964,0.000192158,0.000192158,0.000192158
104,5887.92,0.76189,0.45647,1.1272,0.87455,0.76946,0.85269,0.60067,1.16613,0.81437,1.47831,0.000188278,0.000188278,0.000188278
105,5944.45,0.76207,0.46244,1.12222,0.83679,0.78924,0.84715,0.59382,1.19147,0.88929,1.51008,0.000184397,0.000184397,0.000184397
106,6001.45,0.74356,0.44985,1.12064,0.83445,0.79501,0.84652,0.59846,1.18948,0.85007,1.49085,0.000180516,0.000180516,0.000180516
107,6056.68,0.75796,0.45364,1.12994,0.84216,0.77351,0.8387,0.58843,1.17173,0.91571,1.48346,0.000176635,0.000176635,0.000176635
108,6112.46,0.75121,0.45018,1.12519,0.88695,0.77349,0.84948,0.59812,1.17202,0.84454,1.47428,0.000172754,0.000172754,0.000172754
109,6169.04,0.73997,0.44791,1.11042,0.84867,0.79149,0.85165,0.59865,1.17297,0.85106,1.50447,0.000168874,0.000168874,0.000168874
110,6225.43,0.73523,0.43369,1.10537,0.83874,0.80313,0.85048,0.6012,1.16787,0.84909,1.48918,0.000164993,0.000164993,0.000164993
111,6280.84,0.73877,0.44239,1.1032,0.82132,0.82715,0.85289,0.60324,1.17776,0.82825,1.49733,0.000161112,0.000161112,0.000161112
112,6337.18,0.74639,0.4422,1.10621,0.84401,0.80274,0.85551,0.59926,1.17216,0.87396,1.48668,0.000157231,0.000157231,0.000157231
113,6393.48,0.7254,0.43612,1.10719,0.85401,0.80606,0.85513,0.60311,1.16389,0.86512,1.48071,0.00015335,0.00015335,0.00015335
114,6449.42,0.72755,0.43516,1.08875,0.86619,0.78636,0.8519,0.59499,1.18384,0.88626,1.51308,0.00014947,0.00014947,0.00014947
115,6505.77,0.72764,0.43417,1.09289,0.83689,0.80215,0.84635,0.59878,1.18982,0.86133,1.50654,0.000145589,0.000145589,0.000145589
116,6562.71,0.70011,0.42487,1.08608,0.84908,0.7887,0.85474,0.60285,1.18185,0.86805,1.50659,0.000141708,0.000141708,0.000141708
117,6618.9,0.69676,0.42088,1.08239,0.80656,0.81656,0.84787,0.59883,1.18006,0.85092,1.50396,0.000137827,0.000137827,0.000137827
118,6675.07,0.70852,0.42083,1.08506,0.83435,0.78317,0.84459,0.59696,1.17609,0.90178,1.50646,0.000133946,0.000133946,0.000133946
119,6732.01,0.70706,0.41912,1.08035,0.84221,0.79027,0.84678,0.59454,1.195,0.90207,1.53094,0.000130066,0.000130066,0.000130066
